,Centre_of_Interval,Mean_Correlation
372,1999-05-24,0.09225243146489549
373,1999-06-01,0.1858920602704786
374,1999-06-08,0.18018681678501777
375,1999-06-15,0.09975499755493943
376,1999-06-22,0.07483652973228182
377,1999-06-29,0.038746055542532035
378,1999-07-07,0.03146186698427398
379,1999-07-14,0.07533882384778208
380,1999-07-21,0.09652527300412408
381,1999-07-28,0.14164988961544217
382,1999-08-04,0.06683270744734242
383,1999-08-11,0.2583984267388271
384,1999-08-18,0.18054198194871773
385,1999-08-25,0.1938180583827936
386,1999-09-01,0.4175452302583762
387,1999-09-09,0.029327734112682118
388,1999-09-16,0.12976093151195803
389,1999-09-23,0.23581258891621232
390,1999-09-30,0.157425463315963
391,1999-10-07,0.12969361993151782
392,1999-10-14,0.24338245637005448
393,1999-10-21,0.0969749749927947
394,1999-10-28,0.25954660720548717
395,1999-11-04,0.016808203859434358
396,1999-11-11,0.06542095356253307
397,1999-11-18,0.15280765428059273
398,1999-11-26,0.10093470197084552
399,1999-12-03,0.20317506308514693
400,1999-12-10,0.016671632712745046
401,1999-12-17,0.04658536372051486
402,1999-12-27,0.0860316332076934
403,2000-01-03,0.31611126541695006
404,2000-01-10,0.16733282662170873
405,2000-01-18,0.14571551347615827
406,2000-01-25,0.11794175326354209
407,2000-02-01,0.17023641239686285
408,2000-02-08,0.08957369221971635
409,2000-02-15,0.13878655903116693
410,2000-02-23,0.14538658361284137
411,2000-03-01,0.06263260265990545
412,2000-03-08,0.18499521754013581
413,2000-03-15,0.4937150436934424
414,2000-03-22,0.11972178754957258
415,2000-03-29,0.09462234739182278
416,2000-04-05,0.038923901006405304
417,2000-04-12,0.4384790536088278
418,2000-04-19,0.037927745635955586
419,2000-04-27,0.22422646780928307
420,2000-05-04,0.15351425027223228
421,2000-05-11,0.2243364387358269
422,2000-05-18,0.13253369881754834
423,2000-05-25,0.16953776918038813
424,2000-06-02,0.13436347324514186
425,2000-06-09,0.06406553350472653
426,2000-06-16,0.05379405761445031
427,2000-06-23,0.060030591571765095
428,2000-06-30,0.13460408549080397
429,2000-07-10,0.03177502120375082
430,2000-07-17,0.017990293128743562
431,2000-07-24,0.09634438816417801
432,2000-07-31,0.11475207435831268
433,2000-08-07,0.0641596876377732
434,2000-08-14,0.14380293458190882
435,2000-08-21,0.028041549098858757
436,2000-08-28,0.012567253786244325
437,2000-09-05,0.012379843023634887
438,2000-09-12,0.03551440433905703
439,2000-09-19,0.0698653512729894
440,2000-09-26,0.09358067510835899
441,2000-10-03,0.005235253332099476
442,2000-10-10,0.1080420147819706
